COUNTRY CODE,YEAR,OOPEXP_PC_HEALTHXP,OOPEXP_USD_CAP,OOPEXP_PC_GDP,VOLUNTARY_PC_GDP,COMPULSORY_PC_GDP,TOT_USD_CAP,COMPULSORY_PC_HEALTHXP,TOT_PC_GDP,VOLUNTARY_USD_CAP,VOLUNTARY_PC_HEALTHXP,COMPULSORY_USD_CAP
JPN,2003,16.887,370.959,1.285,1.525,6.086,2196.742,79.964,7.611,440.143,20.036,1756.599
JPN,2000,15.916,294.585,1.138,1.399,5.752,1850.833,80.431,7.151,362.198,19.569,1488.634
JPN,2001,15.786,306.687,1.162,1.401,5.958,1942.812,80.964,7.359,369.832,19.036,1572.98
JPN,2008,15.238,426.549,1.249,1.544,6.656,2799.198,81.171,8.2,527.072,18.829,2272.127
JPN,2009,15.159,450.902,1.373,1.694,7.364,2974.458,81.294,9.058,556.397,18.706,2418.062
JPN,2006,16.422,420.316,1.282,1.536,6.271,2559.459,80.322,7.808,503.662,19.678,2055.796
JPN,2007,15.515,417.154,1.224,1.48,6.411,2688.702,81.249,7.89,504.151,18.751,2184.551
LTU,2018,31.643,754.704,2.078,2.163,4.404,2385.085,67.048,6.568,785.377,32.929,1599.152
LTU,2019,31.643,834.775,2.153,2.24,4.562,2638.133,67.048,6.803,868.702,32.929,1768.816
LTU,2014,31.492,561.095,1.952,2.008,4.188,1781.682,67.561,6.199,577.037,32.387,1203.717
LTU,2015,31.839,610.535,2.068,2.13,4.36,1917.581,67.14,6.495,628.92,32.798,1287.461
LTU,2016,32.317,677.925,2.145,2.216,4.42,2097.717,66.596,6.637,700.378,33.388,1396.994
LTU,2017,32.645,729.916,2.111,2.188,4.276,2235.942,66.137,6.465,756.652,33.84,1478.776
LTU,2010,27.589,378.276,1.885,1.928,4.901,1371.117,71.712,6.834,386.867,28.215,983.261
LTU,2011,28.222,419.026,1.836,1.881,4.618,1484.753,70.994,6.505,429.352,28.917,1054.089
LTU,2012,31.801,498.634,2.001,2.052,4.235,1567.989,67.323,6.291,511.487,32.621,1055.617
LTU,2013,32.82,545.66,2.014,2.068,4.065,1662.577,66.249,6.136,560.426,33.708,1101.446
LTU,2007,28.407,329.131,1.636,1.664,4.094,1158.619,71.1,5.758,334.723,28.89,823.776
LTU,2008,28.173,379.551,1.771,1.808,4.479,1347.21,71.237,6.287,387.432,28.758,959.712
LTU,2009,26.816,355.669,1.972,2.025,5.33,1326.346,72.46,7.356,365.166,27.532,961.076
LTU,2003,24.181,197.432,1.494,1.521,4.658,816.457,75.38,6.179,201.015,24.62,615.443
LTU,2004,32.92,259.86,1.813,1.841,3.664,789.375,66.55,5.506,263.971,33.441,525.33
LTU,2005,32.779,290.33,1.849,1.877,3.764,885.726,66.719,5.642,294.613,33.262,590.951
LTU,2006,31.854,321.809,1.86,1.891,3.947,1010.275,67.606,5.838,327.162,32.383,683.005
LTU,2000,27.152,155.845,1.681,1.95,4.242,573.967,68.509,6.192,180.748,31.491,393.22
LTU,2001,27.585,167.148,1.657,1.708,4.298,605.93,71.565,6.006,172.295,28.435,433.635
LTU,2002,25.603,182.257,1.571,1.6,4.537,711.866,73.931,6.136,185.573,26.069,526.293
AUS,1982,13.579,95.79,0.829,2.507,3.599,705.419,58.941,6.106,289.641,41.059,415.778
AUS,1981,14.89,99.479,0.869,2.262,3.578,668.117,61.27,5.839,258.761,38.73,409.356
AUS,1980,16.11,95.422,0.939,2.162,3.668,592.308,62.917,5.83,219.644,37.083,372.664
AUS,1986,14.671,132.674,0.92,1.864,4.41,904.298,70.289,6.274,268.674,29.711,635.624
AUS,1985,14.676,125.515,0.891,1.729,4.346,855.265,71.543,6.075,243.382,28.457,611.883
AUS,1984,14.222,114.296,0.857,1.718,4.306,803.657,71.479,6.024,229.209,28.521,574.448
AUS,1983,14.889,112.754,0.901,2.246,3.806,757.285,62.886,6.052,281.062,37.114,476.223
